CASE,POPULATION13,BCPUBLICSERVICE13,COMPLETED13,OVERALLSCOPE13,POPULATION15,BCPUBLICSERVICE15,COMPLETED15,OVERALLSCOPE15,FRINGE_FLAG13,ORGID13,ORGANIZATION13,Engagement_13,Commitment_13,Job_Satisfaction_13,Org_Satisfaction_13,ENG_STATE_13,FRINGE_FLAG15,ORGID15,ORGANIZATION15,Engagement_15,Commitment_15,Job_Satisfaction_15,Org_Satisfaction_15,ENG_STATE_15
80,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,58.33333333,75,50,50,Unhappily Dedicated,Core (not fringe),LOON,,16.66666667,25,0,25,Disengaged
81,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
86,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,58.33333333,50,50,75,Happily Detached,NA,,,NA,NA,NA,NA,NA
88,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,20.83333333,12.5,25,25,Disengaged,NA,,,NA,NA,NA,NA,NA
93,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,91.66666667,100,75,100,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
95,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,58.33333333,50,75,50,Happily Detached,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged
97,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,NA,NA,0,0,NA,NA,,,NA,NA,NA,NA,NA
102,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,54.16666667,62.5,50,50,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
108,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,20.83333333,12.5,25,25,Disengaged,NA,,,NA,NA,NA,NA,NA
112,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,70.83333333,87.5,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
113,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
115,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
116,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,70.83333333,87.5,75,50,Moderately Engaged,Core (not fringe),JAY,,58.33333333,75,50,50,Unhappily Dedicated
134,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,NA,,,NA,NA,NA,NA,NA
136,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,NA,NA,50,75,NA,NA,,,NA,NA,NA,NA,NA
138,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
146,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,37.5,37.5,50,25,Disengaged,Core (not fringe),HERON,,54.16666667,62.5,75,25,Unhappily Dedicated
149,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
150,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,54.16666667,62.5,25,75,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
152,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,16.66666667,25,0,25,Disengaged,NA,,,NA,NA,NA,NA,NA
156,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,70.83333333,87.5,50,75,Moderately Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
160,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,NA,NA,75,NA,NA,NA,,,NA,NA,NA,NA,NA
162,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
166,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,37.5,37.5,50,25,Disengaged,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged
169,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,75,100,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
173,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
174,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
181,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged,Core (not fringe),HERON,,75,100,100,25,Moderately Engaged
182,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,45.83333333,37.5,50,50,Minimally Engaged,Core (not fringe),HERON,,0,0,0,0,Disengaged
186,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,0,0,0,0,Disengaged,NA,,,NA,NA,NA,NA,NA
187,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
190,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,62.5,62.5,50,75,Moderately Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
194,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
196,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,33.33333333,25,25,50,Disengaged,Core (not fringe),LOON,,41.66666667,50,25,50,Minimally Engaged
197,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,41.66666667,50,50,25,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
200,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),HERON,,75,75,100,50,Engaged
201,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,91.66666667,75,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
204,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,8.333333333,0,25,0,Disengaged,NA,,,NA,NA,NA,NA,NA
206,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
214,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),RAVEN,,87.5,87.5,100,75,Engaged
215,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,87.5,87.5,75,100,Engaged,NA,,,NA,NA,NA,NA,NA
218,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,16.66666667,50,0,0,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
225,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
235,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,54.16666667,62.5,75,25,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
237,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,87.5,87.5,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
242,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,NA,NA,50,25,NA,NA,,,NA,NA,NA,NA,NA
243,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
247,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,20.83333333,37.5,25,0,Disengaged,NA,,,NA,NA,NA,NA,NA
252,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
253,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,50,25,75,50,Happily Detached,NA,,,NA,NA,NA,NA,NA
254,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),RAVEN,,100,100,100,100,Engaged
255,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,45.83333333,37.5,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
256,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,NA,NA,25,50,NA,Core (not fringe),LOON,,29.16666667,37.5,25,25,Disengaged
257,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,66.66666667,50,75,75,Happily Detached,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged
260,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,58.33333333,50,75,50,Happily Detached,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged
263,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,NA,NA,50,0,NA,NA,,,NA,NA,NA,NA,NA
266,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),RAVEN,,79.16666667,62.5,100,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
270,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
274,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
277,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
278,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
280,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,0,0,0,0,Disengaged,Core (not fringe),HERON,,0,0,0,0,Disengaged
281,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
284,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,58.33333333,75,25,75,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
289,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,29.16666667,37.5,25,25,Disengaged,NA,,,NA,NA,NA,NA,NA
290,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
292,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,83.33333333,75,100,75,Engaged,NA,,,NA,NA,NA,NA,NA
293,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),LOON,,100,100,100,100,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
294,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
296,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,100,75,Engaged,Core (not fringe),LOON,,83.33333333,100,75,75,Engaged
297,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged
308,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
317,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,50,75,50,25,Unhappily Dedicated,Core (not fringe),HERON,,100,100,100,100,Engaged
318,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,NA,NA,50,50,NA,Core (not fringe),LOON,,62.5,62.5,50,75,Moderately Engaged
322,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,NA,100,100,NA,NA,NA,,,NA,NA,NA,NA,NA
325,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,62.5,62.5,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
327,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,50,100,50,0,Unhappily Dedicated,Core (not fringe),LOON,,87.5,87.5,100,75,Engaged
330,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged
333,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,75,100,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
336,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,29.16666667,62.5,0,25,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
337,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,75,100,100,25,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
338,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,66.66666667,75,50,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
341,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated
342,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
343,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,54.16666667,37.5,75,50,Happily Detached,Core (not fringe),JAY,,NA,NA,75,75,NA
347,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged
349,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,NA,NA,50,25,NA,Core (not fringe),LOON,,25,25,25,25,Disengaged
350,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,50,50,75,25,Minimally Engaged,Core (not fringe),LOON,,41.66666667,50,50,25,Minimally Engaged
351,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
354,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,8.333333333,25,0,0,Disengaged,NA,,,NA,NA,NA,NA,NA
356,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,41.66666667,50,50,25,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
357,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,91.66666667,100,100,75,Engaged,Core (not fringe),JAY,,62.5,62.5,75,50,Moderately Engaged
358,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,79.16666667,87.5,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
360,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,91.66666667,100,75,100,Engaged,Core (not fringe),HERON,,41.66666667,25,50,50,Minimally Engaged
363,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,54.16666667,62.5,75,25,Unhappily Dedicated,Core (not fringe),HERON,,37.5,37.5,25,50,Disengaged
364,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,37.5,62.5,25,25,Unhappily Dedicated,NA,,,NA,NA,NA,NA,NA
367,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),RAVEN,,75,75,75,75,Engaged,NA,,,NA,NA,NA,NA,NA
368,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,100,100,100,100,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
373,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,83.33333333,100,75,75,Engaged,Core (not fringe),LOON,,79.16666667,87.5,75,75,Engaged
374,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,70.83333333,62.5,75,75,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
377,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,75,75,75,75,Engaged,Core (not fringe),HERON,,75,75,75,75,Engaged
384,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,100,50,Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
385,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),HERON,,100,100,100,100,Engaged
395,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),HERON,,58.33333333,75,50,50,Unhappily Dedicated
401,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,66.66666667,50,75,75,Happily Detached,Core (not fringe),LOON,,83.33333333,75,75,100,Engaged
403,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,4.166666667,12.5,0,0,Disengaged,Core (not fringe),RAVEN,,20.83333333,12.5,0,50,Disengaged
404,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),HERON,,75,75,75,75,Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
408,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,4.166666667,12.5,0,0,Disengaged,Core (not fringe),HERON,,0,0,0,0,Disengaged
412,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,100,100,100,100,Engaged,Core (not fringe),LOON,,83.33333333,75,100,75,Engaged
414,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
416,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,41.66666667,50,50,25,Minimally Engaged,NA,,,NA,NA,NA,NA,NA
417,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,75,75,75,75,Engaged,Core (not fringe),LOON,,75,75,75,75,Engaged
424,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,NA,NA,25,25,NA,Core (not fringe),RAVEN,,NA,NA,NA,NA,NA
425,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,75,75,75,75,Engaged,Core (not fringe),HERON,,66.66666667,75,50,75,Moderately Engaged
432,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
438,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,62.5,62.5,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
448,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),RAVEN,,70.83333333,62.5,75,75,Moderately Engaged,Core (not fringe),HERON,,NA,NA,NA,NA,NA
452,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,54.16666667,62.5,75,25,Unhappily Dedicated,Core (not fringe),HERON,,16.66666667,25,25,0,Disengaged
453,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
459,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),LOON,,66.66666667,75,75,50,Moderately Engaged,NA,,,NA,NA,NA,NA,NA
461,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,50,75,25,50,Unhappily Dedicated,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
463,In,In,Yes,In Scope,In,In,No,Not In Scope,Core (not fringe),JAY,,50,50,50,50,Minimally Engaged,Core (not fringe),LOON,,NA,NA,NA,NA,NA
464,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,75,75,100,50,Engaged,Core (not fringe),HERON,,70.83333333,87.5,75,50,Moderately Engaged
465,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,58.33333333,75,50,50,Unhappily Dedicated,Core (not fringe),RAVEN,,66.66666667,50,75,75,Happily Detached
468,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,54.16666667,62.5,50,50,Unhappily Dedicated,Core (not fringe),RAVEN,,83.33333333,75,75,100,Engaged
474,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),JAY,,41.66666667,50,50,25,Minimally Engaged,Core (not fringe),HERON,,62.5,62.5,75,50,Moderately Engaged
483,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,100,100,100,100,Engaged,Core (not fringe),LOON,,100,100,100,100,Engaged
491,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),LOON,,NA,NA,100,75,NA,Core (not fringe),HERON,,100,100,100,100,Engaged
497,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),RAVEN,,4.166666667,12.5,0,0,Disengaged,Core (not fringe),LOON,,0,0,0,0,Disengaged
509,In,In,Yes,In Scope,N/A,N/A,N/A,Not In Scope,Core (not fringe),JAY,,95.83333333,87.5,100,100,Engaged,NA,,,NA,NA,NA,NA,NA
513,In,In,Yes,In Scope,In,In,Yes,In Scope,Core (not fringe),HERON,,54.16666667,37.5,75,50,Happily Detached,Core (not fringe),RAVEN,,66.66666667,50,75,75,Happily Detached
